document,chunk,text,question
automind:-enterprise-grade-ai-assistants-done-right,0,"Introducing Automind: Enterprise-Grade AI Assistants Done RightWhile creating autonomous AI agents may seem straightforward, deploying them in enterprise environments raises significant challenges around security, reliability, scalability, usability, and integration.",What are some challenges of deploying autonomous AI agents in enterprise environments?
automind:-enterprise-grade-ai-assistants-done-right,1,"Simply combining off-the-shelf ingredients like language models and retrieval tools is akin to a home cook attempting a Michelin-starred meal - disastrous results are likely.We recognized that building truly robust, enterprise-grade AI assistants requires deep expertise spanning AI, systems infrastructure, security, and software engineering.",Why is it challenging to create high-quality AI assistants just by using readily available components?
automind:-enterprise-grade-ai-assistants-done-right,2,"Our Automind platform is founded on sophisticated technical insights that integrate classic computer science with modern large language models.Informed by decades of experience at companies like Microsoft and Meta, the Automind platform prioritizes enterprise requirements like security, reliability, and scalability.",What kind of experience does the team behind the Automind platform have?
automind:-enterprise-grade-ai-assistants-done-right,3,"Our AI agents run as concurrent, fault-tolerant actors with persistent memory and hot-swappable models.",What are some features of the AI agents described?
automind:-enterprise-grade-ai-assistants-done-right,4,"Dynamic guardrails and access controls ensure data privacy and safe model behavior.State-of-the-art AI components like intelligent routing, semantic indexing, and local re-ranking produce accurate, trustworthy results.",How do dynamic guardrails and access controls contribute to data privacy and safe model behavior?
automind:-enterprise-grade-ai-assistants-done-right,5,Infinite memory lets users refer back to past conversations.,What feature allows users to look back at previous chats?
automind:-enterprise-grade-ai-assistants-done-right,6,"Careful lineage tracking enables citation, auditing, and compliance.A no-code workflow instruction paradigm allows anyone to train custom assistants through simple annotations, without programming.",How does the no-code workflow instruction paradigm help in training custom assistants?
automind:-enterprise-grade-ai-assistants-done-right,7,These assistants can then generalize to solve new problems.,What is the purpose of these assistants?
automind:-enterprise-grade-ai-assistants-done-right,8,"Leveraging techniques from compilers, Automind can even automatically fine-tune and deploy custom models per enterprise, team, or individual.In this talk, we introduce Automind and share the key insights that transformed a seemingly simple task into a formidable technical challenge - and how we overcame it.",What can Automind do to customize models for different users?
automind:-enterprise-grade-ai-assistants-done-right,9,"""It is unbecoming for accomplished individuals to expend valuable time on tasks that could be efficiently handled by machines or delegated to others.",Why should accomplished individuals avoid spending too much time on tasks that could be handled by machines or delegated to others?
automind:-enterprise-grade-ai-assistants-done-right,10,"""Gottfried Wilhelm Leibniz (1646-1716)",Who was a notable philosopher and mathematician from the 17th century?
a-passwordless-future!-passkeys-for-developers,0,Weak passwords remain one of the major causes of breaches and security incidents.,Why do weak passwords contribute to security breaches?
a-passwordless-future!-passkeys-for-developers,1,The Web Authentication standard provides a robust framework for passwordless authentication using passkeys.,What does the Web Authentication standard help with?
a-passwordless-future!-passkeys-for-developers,2,Passkeys are the latest revolution in authentication.,What are passkeys used for?
a-passwordless-future!-passkeys-for-developers,3,You may have used it with Google or GitHub.,What popular services or platforms might people have used for version control or web searches?
a-passwordless-future!-passkeys-for-developers,4,But what exactly is it and how does it work?,What is it and how does it function?
a-passwordless-future!-passkeys-for-developers,5,You will learn all about it in this talk.,What information will be covered in the talk?
a-passwordless-future!-passkeys-for-developers,6,"We will dive into the core concepts of passkeys, their architecture, and their pros and cons.","What are the main ideas behind passkeys, their structure, and their advantages and disadvantages?"
a-passwordless-future!-passkeys-for-developers,7,We will see how Passkey leverages public key cryptography and biometrics/hardware authenticators to offer enhanced security and usability while eliminating the vulnerabilities associated with traditional password-based systems.We will explore how developers can leverage WebAuthn libraries to implement passkeys in their apps.,How does Passkey utilize public key cryptography and biometrics to enhance security?
a-passwordless-future!-passkeys-for-developers,8,We will also learn to use passkeys with external Identity providers.,How do we use passkeys with external Identity providers?
a-passwordless-future!-passkeys-for-developers,9,"There will be demos, showing step-by-step integration of passkeys into web applications.",What will the demos demonstrate in relation to web applications?
nn’s-successful-application-of-chatgpt-technology-for-automated-call-logging,0,"Two years before ChatGPT was launched, NN Group tested OpenAI’s model for the Dutch language.",When was OpenAI's model for the Dutch language tested by NN Group in relation to the launch of ChatGPT?
nn’s-successful-application-of-chatgpt-technology-for-automated-call-logging,1,"The experiment was successful, and OpenAI asked NN Group to test other AI models, including ChatGPT.",What did OpenAI request NN Group to do after the initial experiment was successful?
nn’s-successful-application-of-chatgpt-technology-for-automated-call-logging,2,The team spent 1.5 years experimenting with ChatGPT to ensure the safe use of the technology without giving away company data.,How long did the team spend testing ChatGPT to ensure it was used safely without risking company data?
nn’s-successful-application-of-chatgpt-technology-for-automated-call-logging,3,"Now, NN Group is one of the first companies in Europe to apply ChatGPT technology on a large scale in production for Automated Call Logging.",What is one of the first companies in Europe to widely use ChatGPT technology for Automated Call Logging?
nn’s-successful-application-of-chatgpt-technology-for-automated-call-logging,4,"Learn about how they applied ChatGPT, got the business on board, and the challenges they faced.",How did they manage to integrate ChatGPT into their business operations and what obstacles did they encounter?
nn’s-successful-application-of-chatgpt-technology-for-automated-call-logging,5,Get inspired to learn more about the potential of AI in business.,How can AI potentially benefit businesses?
observability:-a-catalyst-for-sustainable-engineering,0,We all acknowledge the immense effort required to combat climate change.,What actions are being taken to address climate change?
observability:-a-catalyst-for-sustainable-engineering,1,"With the rapid advancement of technology, our ecological footprint has skyrocketed.",How has the growth of technology impacted our environmental footprint?
observability:-a-catalyst-for-sustainable-engineering,2,It is time for a change.,Why is now the right time to make a change?
observability:-a-catalyst-for-sustainable-engineering,3,However the the ongoing dialogue on this matter has many of us getting weary.,Why are people becoming tired of the continuous discussions on this issue?
observability:-a-catalyst-for-sustainable-engineering,4,This does not mean the subject is any less import and urgent.But what can we do as engineers?,What actions can engineers take to address the urgent and important subject?
observability:-a-catalyst-for-sustainable-engineering,5,How do we transform our landscape for sustainability?,How can we reshape our environment to achieve sustainability?
observability:-a-catalyst-for-sustainable-engineering,6,"The obvious answer seems to be ""go to the cloud"" and ""go serverless"".",What are some common solutions for managing computing resources efficiently?
observability:-a-catalyst-for-sustainable-engineering,7,But is that enough?,Is what mentioned sufficient?
observability:-a-catalyst-for-sustainable-engineering,8,And can that always be done?,Is it possible to achieve that consistently?
observability:-a-catalyst-for-sustainable-engineering,9,"In this session we go beyond the obvious and delve into the engineer's role in leveraging observability to benefit humanity and the planet.Leaving this session you will have practical tools where to start, what to look out for and your first steps for a more sustainable future.Because you can only change what you can observe.",How does the engineer's role in leveraging observability contribute to a more sustainable future?
getting-smart-with-kvk’s-synthetic-data,0,Join us for an enlightening session where Waseem Sadiq delves into the innovative use of synthetic data at the KvK (Chamber of Commerce).,What will Waseem Sadiq discuss regarding synthetic data at the KvK event?
getting-smart-with-kvk’s-synthetic-data,1,This presentation will explore the fascinating intersection of data privacy and open government data—fields often seen at odds.,How do data privacy concerns interact with the principles of open government data?
getting-smart-with-kvk’s-synthetic-data,2,"Discover how synthetic data serves as a revolutionary solution, providing privacy-compliant data that retains the authenticity necessary for robust data analysis and integration.",How does synthetic data help maintain privacy while ensuring data authenticity for analysis?
getting-smart-with-kvk’s-synthetic-data,3,"Learn about the KvK’s current projects and future plans to make this synthetic data publicly available, enabling the market to leverage it for diverse use cases.",What are the future goals regarding making synthetic data publicly accessible for market use?
getting-smart-with-kvk’s-synthetic-data,4,Don't miss this opportunity to see how synthetic data is shaping the future of data privacy and open data initiatives!,How is synthetic data influencing the future of data privacy and open data initiatives?
lessons-learned-from-building-a-generative-ai-playground,0,"Generative AI, there are those who talk about it and those who build with it.",What is the difference between people who talk about generative AI and those who build with it?
lessons-learned-from-building-a-generative-ai-playground,1,"In this session, I share the lessons learned from building the [.NET FM Playground](https://github.com/build-on-aws/dotnet-fm-playground).",What is this session about?
lessons-learned-from-building-a-generative-ai-playground,2,This project has started as a way to educate myself on this broad and new domain.,Why was the project initiated?
lessons-learned-from-building-a-generative-ai-playground,3,No better way for me to learn than getting my hands dirty.,What method does the speaker prefer for learning?
lessons-learned-from-building-a-generative-ai-playground,4,"During the session, you get a hands-on, developer oriented understanding on how to use Generative AI in your application.",What will participants learn about during the session?
lessons-learned-from-building-a-generative-ai-playground,5,"You won't hear about training large language models (LLMs), I'm no ML expert.We walk through the different playgrounds to understand a few key concepts.",What are some key concepts you can learn about by exploring different playgrounds for large language models?
lessons-learned-from-building-a-generative-ai-playground,6,The Text playground helps us to make our first steps with LLMs and do a bit of prompt engineering.,What can assist us in taking initial steps with large language models and experimenting with prompt engineering?
lessons-learned-from-building-a-generative-ai-playground,7,The Chat playground surfaces why and how you can memorize your conversation.,What purpose does memorizing your conversation in the Chat playground serve?
lessons-learned-from-building-a-generative-ai-playground,8,The Voice Chat playground showcases how you can mix and match different AI technologies to deliver voice-based interactions.,What does the Voice Chat playground demonstrate regarding AI technologies?
lessons-learned-from-building-a-generative-ai-playground,9,"The Agent playground illustrates how you can use Retrieval Augmented Generation pattern to overcome LLMs knowledge limitation and how you can make them accomplish complex tasks.When you walk out from this talk, I hope you go build your first Generative AI enabled app.",What is the purpose of the Agent playground in relation to Generative AI?
from-r&d-to-machine-learning-products,0,"In the keynote ""From R&D to ML Products,"" we explore Picnic's journey in scaling machine learning within our organization, from initial research and development to deploying full-scale ML products.","What is discussed in the keynote ""From R&D to ML Products""?"
from-r&d-to-machine-learning-products,1,"This talk delves into the challenges faced, the tech stack that enabled our growth, and key learnings acquired along the way.",What were the main challenges encountered during the growth process?
from-r&d-to-machine-learning-products,2,"Emphasizing the transition from experimental projects to impactful applications, we discuss the importance of aligning ML initiatives with business goals, fostering innovation, and the crucial role of cross-functional collaboration.",Why is it important for machine learning projects to be aligned with business objectives?
from-r&d-to-machine-learning-products,3,"Through our experiences, we offer insights and strategies for organizations looking to navigate the complex yet rewarding path of integrating ML technologies into their operations effectively.",What do you provide to help organizations integrate ML technologies into their operations?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,0,Ever thought about building your very own question-answering system?,Have you ever considered creating your own question-answering system?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,1,"Like the one that powers Siri, Alexa, or Google Assistant?",Are you referring to the technology used in digital voice assistants?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,2,"Well, we've got something awesome lined up for you!In our hands-on workshop, we'll guide you through the ins and outs of creating a question-answering system.",What will participants learn in the hands-on workshop?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,3,We prefer using Python for the workshop.,Why is Python the preferred language for the workshop?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,4,We have prepared a GUI that works with python.,What programming language is the GUI compatible with?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,5,"If you prefer another language, you can still do the workshop, but you will miss the GUI to test your application.",What will you miss if you choose to use a different programming language for the workshop?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,6,"You'll get your hands dirty with vector stores and Large Language Models, we help you combine these two in a way you've never done before.You've probably used search engines for keyword-based searches, right?",Have you ever used search engines to look for keywords?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,7,"Well, prepare to have your mind blown.",What kind of surprising information or event is about to be revealed?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,8,"We'll dive into something called semantic search, which is the next big thing after traditional searches.",What is semantic search and how is it different from traditional searches?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,9,"It’s like moving from asking Google to search ""best pizza places"" to ""Where can I find a pizza place that my gluten-intolerant, vegan friend would love?""",How does the new way of searching for pizza places differ from the old way?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,10,"– you get the idea, right?We’ll be teaching you how to build an entire pipeline, starting from collecting data from various sources, converting that into vectors (yeah, it’s more math, but it’s cool, we promise), and storing it so you can use it to answer all sorts of queries.",What is the overall goal of building the pipeline mentioned?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,11,It's like building your own mini Google!We've got a repository ready to help you set up everything you need on your laptop.,What can the repository help you do on your laptop?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,12,"By the end of our workshop, you'll have your question-answering system ready and running.So, why wait?",What will participants have completed by the end of the workshop?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,13,"Grab your laptop, bring your coding hat, and let's start building something fantastic together.",What should you bring to start building something fantastic together?
the-art-of-questions:-creating-a-semantic-search-based-question-answering-system-with-llms,14,"Trust us, it’s going to be a blast!Some of the highlights of the workshop:Use a vector store (OpenSearch, Elasticsearch, Weaviate)Use a Large Language Model (OpenAI, HuggingFace, Cohere, PaLM, Bedrock)Use a tool for content extraction (Unstructured, Llama)Create your pipeline (Langchain, Custom)",What will participants learn to use for content extraction in the workshop?
automatically-generating-regression-unit-tests-at-instagram,0,At Instagram we believe that automation can and should replace humans when possible to free up engineers for the more complicated work that can not be automated.,Why does Instagram want to use automation to replace humans?
automatically-generating-regression-unit-tests-at-instagram,1,"For that reason we created a tool to automatically generate unit tests called TestGen.TestGen automatically generates unit tests, carved from serialized observations of complex objects, observed during app execution.",What does the tool TestGen do?
automatically-generating-regression-unit-tests-at-instagram,2,In this talk we will describe the development and deployment of TestGen at Meta.,What is TestGen and how was it developed and deployed at Meta?
automatically-generating-regression-unit-tests-at-instagram,3,"In particular, we focus on the scalability challenges overcome during development in order to deploy observation-based test carving at scale in industry.",What scalability challenges had to be overcome to deploy observation-based test carving in the industry?
automatically-generating-regression-unit-tests-at-instagram,4,"So far, TestGen has landed 518 tests into production, finding 5,702 faults.",How many faults have been discovered by TestGen in production so far?
automatically-generating-regression-unit-tests-at-instagram,5,Meta is currently in the process of more widespread deployment.,What is Meta in the process of doing right now?
automatically-generating-regression-unit-tests-at-instagram,6,Testing on 16 Kotlin Instagram app-launchblocking tasks demonstrated that the TestGen tests would have trapped 13 of these before they became launch blocking.,What was the result of applying TestGen tests to the Kotlin Instagram app-launchblocking tasks?
ephemeral-clusters-as-a-service-with-clusterapi-and-gitops,0,GitOps has seen widespread adoption in the last few years due to the clear advantages over traditional CI/CD tools.,What are the benefits of using GitOps instead of traditional CI/CD tools?
ephemeral-clusters-as-a-service-with-clusterapi-and-gitops,1,"However, with adoption comes the growing pains of scale: running and managing multiple clusters across different cloud providers represents a major hurdle for organizations wanting to adopt Kubernetes as a standard deployment platform.",What challenge do organizations face when trying to adopt Kubernetes on a large scale?
ephemeral-clusters-as-a-service-with-clusterapi-and-gitops,2,"In particular, observability and security at scale are two thorny aspects that need to be addressed; we will demonstrate how it’s possible to tame the complexity of such scaled infrastructure via open-source tools, such as ClusterAPI, ArgoCD and Prometheus+Thanos to provide control and visibility over an arbitrary number of clusters.",What open-source tools can help manage and monitor complex infrastructures with many clusters?
ephemeral-clusters-as-a-service-with-clusterapi-and-gitops,3,"We will show a sample, created after our collective experience at large scale customers, which can automate the deployment of hundreds of clusters and applications automatically and securely, and collect metrics from all the ephemeral clusters along the way.",How does the sample help in automating the deployment of numerous clusters and applications?
sustainable-software:-may-the-green-code-be-with-you,0,"In a galaxy not so far away, software development is taking on an eco-friendly twist!",How is software development becoming more environmentally friendly?
sustainable-software:-may-the-green-code-be-with-you,1,"Join me for a journey into the world of Green Software Development, where we explore how the Force of sustainability can be harnessed to create a better, greener future for software and the planet.We'll fly away to various topics, including:- The Green Side of Code: Discover the fundamental principles of Green Software Development and how they can lead to reduced energy consumption, lower carbon footprints, and more environmentally responsible software.- Eco-Jedi Tools: Explore the tools and techniques at the heart of Green Software Development, including energy-efficient coding practices and sustainable development methodologies.- Carbon Emissions and the Dark Side: Learn about the environmental impact of software and how we can combat the ""Dark Side"" of excessive energy consumption with eco-conscious programming.- Ewoks vs. Energy Efficiency: Are you building your software like the energy-efficient Ewoks or the resource-hungry Death Star?- The Path to a Greener Future: We'll discuss the challenges and opportunities ahead on our journey toward a more sustainable software galaxy and how you can be a part of it.Join me for an engaging and informative presentation where we combine the power of technology and the wisdom of the Jedi to bring balance to the software development Force.",What are some of the principles of Green Software Development that help reduce energy consumption?
sustainable-software:-may-the-green-code-be-with-you,2,"Together, we'll ensure that the code is green, and our planet is preserved for generations to come.",How does making the code green help in preserving the environment for future generations?
sustainable-software:-may-the-green-code-be-with-you,3,May the Green Code Be with You!,What is the significance of the Green Code philosophy?
how-an-outage-sparked-a-full-rethink-of-essent’s-cloud-architecture,0,"Essent’s services, such as our website and mobile apps, were disrupted for over a week due to a sudden and persistent increase in customer-generated traffic, triggered by the war in Ukraine and escalating concerns over energy prices.Upon recovering our services, we analyzed our resilience strategies and realized that increasing team ownership and autonomy was crucial for the rapid innovation and change we aimed to achieve.This talk will detail our journey through this disruption, highlight our key learnings, and explain the steps we took to re-architect our Cloud platform.",What initially caused the interruption of Essent's services?
how-an-outage-sparked-a-full-rethink-of-essent’s-cloud-architecture,1,"We'll explain how these changes not only prevent future incidents but also align our cloud infrastructure with our ambition to become a leading energy tech company, enhancing both technology adoption and innovation.",How do these changes help align the cloud infrastructure with the company's goal of becoming a leading energy tech firm?
how-to-write-maintainable-code-in-a-large-organisation,0,"What if you’re working in a large organisation, doing the same thing but separately?",How do you collaborate with colleagues when you're independently performing the same tasks in a large organization?
how-to-write-maintainable-code-in-a-large-organisation,1,How can you work together to become an efficient organisation?,How can team collaboration improve an organization's efficiency?
how-to-write-maintainable-code-in-a-large-organisation,2,"Within Rabobank we have many departments who try to solve this problem, from re-usable pipeline templates to IT4T teams.",What approaches is Rabobank using to address this issue?
how-to-write-maintainable-code-in-a-large-organisation,3,But what about reusing code?,Why is it important to consider reusing code?
how-to-write-maintainable-code-in-a-large-organisation,4,We all want to be autonomous and be masters of our own code however this comes at a cost: code duplication.,What is one downside of striving for autonomy in coding?
how-to-write-maintainable-code-in-a-large-organisation,5,In this presentation I will start with sharing some of the low hanging fruit to remove duplication and will end with how to efficiently work together to reduce duplication.,What are some easy steps to eliminate duplication?
how-to-write-maintainable-code-in-a-large-organisation,6,I will demonstrate the use of these concepts in a Java-based Spring Boot application in a microservices architecture and provide some examples of best practices and potential pitfalls.,What will be demonstrated in a Java-based Spring Boot application in a microservices architecture?
how-to-write-maintainable-code-in-a-large-organisation,7,"By the end of this presentation, you will have a better understanding of how to leverage each of these concepts to simplify and improve your development process across your organisation.",What will you gain from attending this presentation?
how-to-write-maintainable-code-in-a-large-organisation,8,"Most importantly you will learn how to reduce your code and find the right abstraction, in turn creating happy developers.",How can you create happier developers through the right code abstraction?
"the-future-of-ai:-consciousness,-djano,-and-the-evolution-of-technology",0,"In this engaging lecture, we delve into the fascinating world of artificial intelligence (AI), consciousness, and the role of Djano as a bespoke AI solution.",What topics are covered in the lecture about artificial intelligence?
"the-future-of-ai:-consciousness,-djano,-and-the-evolution-of-technology",1,"We begin by exploring the definition of AI and how it has evolved from an abstract concept to a powerful tool transforming our society.Next, we delve into the concept of consciousness and the role it plays in the evolution of AI.",What is the relationship between consciousness and the development of AI?
"the-future-of-ai:-consciousness,-djano,-and-the-evolution-of-technology",2,"We examine the question of whether AI can ever achieve consciousness and how this may change our understanding of intelligence and self-awareness.Finally, we examine Djano, a leading AI platform offering tailored solutions for businesses in various sectors.",What is the impact of AI potentially achieving consciousness on our perception of intelligence and self-awareness?
"the-future-of-ai:-consciousness,-djano,-and-the-evolution-of-technology",3,"We discuss how Djano pushes the boundaries of AI by combining advanced algorithms and deep analysis with empathy and understanding of human experiences.Whether you're a technology enthusiast, a business leader seeking innovative solutions, or simply curious about the future of AI, this lecture provides an engaging and inspiring insight into the power of technology and the human mind.",How does Djano combine advanced algorithms with human empathy in AI?
the-ai-elections:-how-technology-could-shape-public-sentiment,0,"Abstract:In the age of Deepfakes and Large Language Models (LLMs), the threat of misusing AI for shaping and manipulating public sentiment has reached unprecedented levels.",How has the misuse of AI technologies impacted public opinion?
the-ai-elections:-how-technology-could-shape-public-sentiment,1,"In this talk, we shed light on the capabilities of Artificial Intelligence (AI), and its potential implications for our societies.As the pivotal elections in both the UK and USA loom in 2024, it is important to understand the evolving landscape of political influence, particularly in the digital realm.",What is the significance of AI in the context of upcoming elections in the UK and USA?
the-ai-elections:-how-technology-could-shape-public-sentiment,2,Remembering the impact of Cambridge Analytica's manipulation during the Brexit era serves as a reminder of how information can be distorted to sway public opinion.,How did Cambridge Analytica manipulate information to influence public opinion during the Brexit era?
the-ai-elections:-how-technology-could-shape-public-sentiment,3,"In this keynote, we show the capabilities of modern AI and how they can be misused for shaping public opinion, using examples like Realtime Deepfakes and LLM-powered chatbots.",What are some examples of how modern AI can be used to manipulate public opinion?
the-ai-elections:-how-technology-could-shape-public-sentiment,4,"Through a series of live demonstrations and showcases, we unveil the inner workings and technical foundation of these neural networks, highlight their capabilities and their weaknesses, and give an outlook on how we as a society can resist manipulation.In a world where technology shapes narratives, understanding its potential and pitfalls is crucial.",What is the purpose of the live demonstrations and showcases of neural networks?
the-ai-elections:-how-technology-could-shape-public-sentiment,5,"This talk aims to spark discourse and promote a future where technology serves societal betterment, not manipulation.",What is the main goal of this talk?
practical-genai-–-beyond-the-hype-and-existential-dread,0,"Generative AI has much to offer developers, businesses, educational institutions, and society as a whole.",What are the potential benefits of generative AI for different sectors like businesses and educational institutions?
practical-genai-–-beyond-the-hype-and-existential-dread,1,"However, since ChatGPT was launched, the focus has mainly been on the hype and existential dread.",What has been the primary focus since the launch of ChatGPT?
practical-genai-–-beyond-the-hype-and-existential-dread,2,"This talk will look at the implementation of GenAI in real-life applications and how the technology can be used to speed up development, increase creativity, and make better products.",How can GenAI help in speeding up the development of products?
your-frontend-is-☠️-⚠️-let's-measure-it's-impact-with-co2.js,0,"Are you a software developer, architect, or manager, eager and ready to make a significant impact on the world?",Who is the target audience for this message?
your-frontend-is-☠️-⚠️-let's-measure-it's-impact-with-co2.js,1,Do you want to solve complex puzzles to make the world a little bit better?,Would you enjoy tackling challenging puzzles to contribute to a positive change?
your-frontend-is-☠️-⚠️-let's-measure-it's-impact-with-co2.js,2,Then this is your chance!,What opportunity is being offered?
your-frontend-is-☠️-⚠️-let's-measure-it's-impact-with-co2.js,3,Let's try to fix the Climate Change problem together by taking the first steps!,What initial actions can we take to address Climate Change?
your-frontend-is-☠️-⚠️-let's-measure-it's-impact-with-co2.js,4,How?,How is the process carried out?
your-frontend-is-☠️-⚠️-let's-measure-it's-impact-with-co2.js,5,"By measuring the carbon footprint of (y)our frontend applications!In this session, we will deep dive into the world of decreasing our CO2 emissions.",How can we reduce the carbon emissions of our web applications?
your-frontend-is-☠️-⚠️-let's-measure-it's-impact-with-co2.js,6,The Green Web Foundation created a library to measure your coding emissions.,What has the Green Web Foundation developed to help track the environmental impact of your coding?
your-frontend-is-☠️-⚠️-let's-measure-it's-impact-with-co2.js,7,"With hands-on examples, we will explore the world of CO2.js, a practical way to measure code by transforming bytes into (kilo) grams of CO2 emissions.Now you're thinking, how do they measure it?",How does CO2.js measure CO2 emissions from code?
your-frontend-is-☠️-⚠️-let's-measure-it's-impact-with-co2.js,8,"By calculating the average carbon intensity of electricity, you can measure it by using the:🌴 Sustainable Web Design model, that calculates the emission of data center usage, network transfer, end-user device usage, and the production of hardware🌲 1Byte model (The Cost of a Byte), that narrows the emission to a data center and network only.After this session, you will know how to measure your coding emissions, with practical examples.",How can you measure your coding emissions using different models?
your-frontend-is-☠️-⚠️-let's-measure-it's-impact-with-co2.js,9,Everyone has to play a part in the climate solution!,What role can individuals play in addressing climate change?
your-frontend-is-☠️-⚠️-let's-measure-it's-impact-with-co2.js,10,So let's do this together!,What are we going to do together?
"green-software:-if-we-change-the-way-we-code,-then-the-climate-doesn't-have-to-change",0,Enterprise technology by itself is responsible for emitting approximately 1% of global emissions.,How much of the world's emissions are attributed to enterprise technology?
"green-software:-if-we-change-the-way-we-code,-then-the-climate-doesn't-have-to-change",1,Let's put this into perspective.,What does it mean to put something into perspective?
"green-software:-if-we-change-the-way-we-code,-then-the-climate-doesn't-have-to-change",2,This amount matches half of the emissions generated by aviation or shipping industries.,How does this amount of emissions compare to those produced by the aviation and shipping industries?
"green-software:-if-we-change-the-way-we-code,-then-the-climate-doesn't-have-to-change",3,"Even more remarkably, it's similar to the entire carbon footprint of the United Kingdom.",How does this footprint compare to that of the United Kingdom?
"green-software:-if-we-change-the-way-we-code,-then-the-climate-doesn't-have-to-change",4,"So, what can we do about this?",What are some possible solutions to this issue?
"green-software:-if-we-change-the-way-we-code,-then-the-climate-doesn't-have-to-change",5,This talk will share practical green software development principles that you can implement in your project to minimize the environmental impact of your solution.,What strategies can be applied in software development to reduce environmental impact?
"green-software:-if-we-change-the-way-we-code,-then-the-climate-doesn't-have-to-change",6,"Green software is an emerging discipline at the intersection of climate science, software design, electricity markets, hardware, and data center design.",What fields combine to form the discipline of green software?
